
> eventology@0.1.0 dev
> next dev

   ▲ Next.js 16.0.10 (Turbopack)
   - Local:         http://localhost:3000
   - Network:       http://192.168.0.2:3000

 ✓ Starting...
Attention: Next.js now collects completely anonymous telemetry regarding usage.
This information is used to shape Next.js' roadmap and prioritize features.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://nextjs.org/telemetry

 ✓ Ready in 1447ms
 ○ Compiling /login ...
 GET /api/users 200 in 14ms (compile: 10ms, render: 4ms)
 GET /login 200 in 76ms (compile: 3ms, render: 72ms)
 POST /api/auth/login 200 in 12ms (compile: 3ms, render: 9ms)
 GET / 200 in 38ms (compile: 12ms, render: 26ms)
 GET /api/settings 200 in 11ms (compile: 5ms, render: 6ms)
 GET /api/settings 200 in 8ms (compile: 3ms, render: 5ms)
 GET /admin 200 in 134ms (compile: 8ms, render: 126ms)
 GET /api/applications 200 in 13ms (compile: 5ms, render: 8ms)
 GET /api/inquiries 200 in 22ms (compile: 17ms, render: 5ms)
 GET /api/settings 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/users 200 in 15ms (compile: 9ms, render: 6ms)
 GET /login 200 in 93ms (compile: 7ms, render: 86ms)
 POST /api/auth/login 200 in 8ms (compile: 2ms, render: 6ms)
 GET / 200 in 46ms (compile: 5ms, render: 41ms)
 GET /api/settings 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 3ms)
 GET /admin 200 in 114ms (compile: 4ms, render: 110ms)
 GET /api/applications 200 in 9ms (compile: 4ms, render: 4ms)
 GET /api/inquiries 200 in 9ms (compile: 5ms, render: 4ms)
 GET /api/settings 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/users 200 in 13ms (compile: 8ms, render: 4ms)
 GET /signup 200 in 86ms (compile: 4ms, render: 82ms)
 GET / 200 in 218ms (compile: 6ms, render: 212ms)
 GET /admin 200 in 95ms (compile: 5ms, render: 90ms)
 GET / 200 in 31ms (compile: 6ms, render: 26ms)
 GET /api/settings 200 in 13ms (compile: 5ms, render: 8ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 189ms (compile: 5ms, render: 183ms)
 GET /api/settings 200 in 10ms (compile: 3ms, render: 7ms)
 POST /api/applications 201 in 8ms (compile: 3ms, render: 5ms)
 GET /login 200 in 67ms (compile: 4ms, render: 64ms)
 POST /api/auth/login 200 in 7ms (compile: 3ms, render: 5ms)
 GET / 200 in 24ms (compile: 4ms, render: 20ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/settings 200 in 7ms (compile: 2ms, render: 4ms)
 GET /admin 200 in 125ms (compile: 4ms, render: 121ms)
 GET /api/applications 200 in 12ms (compile: 3ms, render: 9ms)
 GET /api/inquiries 200 in 7ms (compile: 4ms, render: 4ms)
 GET /api/settings 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/users 200 in 16ms (compile: 12ms, render: 4ms)
 GET /login 200 in 90ms (compile: 5ms, render: 85ms)
 POST /api/auth/login 200 in 9ms (compile: 3ms, render: 6ms)
 GET / 200 in 30ms (compile: 4ms, render: 25ms)
 GET /api/settings 200 in 12ms (compile: 5ms, render: 7ms)
 GET /admin 200 in 88ms (compile: 4ms, render: 84ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 4ms)
 GET /api/applications 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/inquiries 200 in 17ms (compile: 10ms, render: 7ms)
 GET /api/settings 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/users 200 in 11ms (compile: 8ms, render: 3ms)
 GET /login 200 in 81ms (compile: 4ms, render: 77ms)
 POST /api/auth/login 401 in 16ms (compile: 7ms, render: 9ms)
 GET /login 200 in 78ms (compile: 4ms, render: 74ms)
 POST /api/auth/login 200 in 8ms (compile: 3ms, render: 5ms)
 GET / 200 in 34ms (compile: 4ms, render: 31ms)
 GET /api/settings 200 in 12ms (compile: 9ms, render: 4ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 4ms)
 GET /admin 200 in 24ms (compile: 3ms, render: 20ms)
 GET /api/applications 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/inquiries 200 in 9ms (compile: 4ms, render: 6ms)
 GET /api/settings 200 in 19ms (compile: 13ms, render: 6ms)
 GET /api/users 200 in 8ms (compile: 4ms, render: 3ms)
 GET /api/applications 200 in 15ms (compile: 8ms, render: 7ms)
 GET /api/inquiries 200 in 15ms (compile: 11ms, render: 4ms)
 GET /api/settings 200 in 13ms (compile: 8ms, render: 5ms)
 GET /api/users 200 in 5ms (compile: 1793µs, render: 3ms)
 GET /login 200 in 1192ms (compile: 231ms, render: 962ms)
 POST /api/auth/login 200 in 118ms (compile: 13ms, render: 105ms)
 GET / 200 in 92ms (compile: 18ms, render: 74ms)
 GET /api/settings 200 in 208ms (compile: 54ms, render: 154ms)
 GET /api/settings 200 in 160ms (compile: 61ms, render: 99ms)
 GET /admin 200 in 1612ms (compile: 19ms, render: 1593ms)
 GET /api/applications 200 in 16ms (compile: 9ms, render: 7ms)
 GET /api/inquiries 200 in 25ms (compile: 18ms, render: 7ms)
 GET /api/settings 200 in 15ms (compile: 4ms, render: 11ms)
 GET /api/users 200 in 43ms (compile: 29ms, render: 14ms)
 GET /signup 200 in 207ms (compile: 11ms, render: 195ms)
 GET / 200 in 240ms (compile: 6ms, render: 234ms)
 GET /admin 200 in 117ms (compile: 17ms, render: 100ms)
 GET / 200 in 28ms (compile: 4ms, render: 24ms)
 GET /api/settings 200 in 16ms (compile: 5ms, render: 11ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 5ms)
 GET / 200 in 113ms (compile: 4ms, render: 109ms)
 GET /api/settings 200 in 11ms (compile: 6ms, render: 5ms)
 POST /api/applications 201 in 14ms (compile: 3ms, render: 11ms)
 GET /login 200 in 246ms (compile: 17ms, render: 228ms)
 POST /api/auth/login 200 in 20ms (compile: 8ms, render: 12ms)
 GET / 200 in 37ms (compile: 8ms, render: 28ms)
 GET /api/settings 200 in 13ms (compile: 5ms, render: 9ms)
 GET /api/settings 200 in 11ms (compile: 5ms, render: 7ms)
 GET /admin 200 in 165ms (compile: 11ms, render: 154ms)
 GET /api/applications 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/users 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/inquiries 200 in 27ms (compile: 20ms, render: 7ms)
 GET /api/settings 200 in 37ms (compile: 28ms, render: 9ms)
 GET /login 200 in 128ms (compile: 8ms, render: 120ms)
 POST /api/auth/login 200 in 19ms (compile: 6ms, render: 13ms)
 GET / 200 in 72ms (compile: 10ms, render: 63ms)
 GET /api/settings 200 in 17ms (compile: 10ms, render: 8ms)
 GET /api/settings 200 in 14ms (compile: 4ms, render: 9ms)
 GET /admin 200 in 251ms (compile: 22ms, render: 228ms)
 GET /api/applications 200 in 19ms (compile: 7ms, render: 12ms)
 GET /api/inquiries 200 in 33ms (compile: 24ms, render: 9ms)
 GET /api/settings 200 in 28ms (compile: 18ms, render: 10ms)
 GET /api/users 200 in 18ms (compile: 8ms, render: 10ms)
 GET /login 200 in 95ms (compile: 4ms, render: 91ms)
 POST /api/auth/login 200 in 15ms (compile: 3ms, render: 12ms)
 GET / 200 in 53ms (compile: 14ms, render: 39ms)
 GET /api/settings 200 in 9ms (compile: 3ms, render: 7ms)
 GET /api/settings 200 in 14ms (compile: 3ms, render: 11ms)
 GET /admin 200 in 43ms (compile: 4ms, render: 39ms)
 GET /api/applications 200 in 14ms (compile: 7ms, render: 7ms)
 GET /api/inquiries 200 in 50ms (compile: 21ms, render: 29ms)
 GET /api/settings 200 in 67ms (compile: 56ms, render: 12ms)
 GET /api/users 200 in 10ms (compile: 4ms, render: 5ms)
 GET /api/applications 200 in 17ms (compile: 11ms, render: 6ms)
 GET /api/inquiries 200 in 25ms (compile: 20ms, render: 6ms)
 GET /api/settings 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/users 200 in 22ms (compile: 10ms, render: 13ms)
